image_path,taxonID,mapped_label
2238504270-171705.JPG,20020,148
2238511676-246956.JPG,17238,79
2883271536-291057.JPG,17289,95
2446759186-271681.JPG,10079,13
2382321410-191132.JPG,19939,116
2294395107-339090.JPG,63479,35
2303159349-115855.JPG,20093,174
2238468411-240589.JPG,10056,1
2238553993-32344.JPG,11069,41
2238561243-33800.JPG,63479,35
2847224337-359163.JPG,20100,176
2424123258-45672.JPG,10107,20
2238458657-315232.JPG,11787,47
2237926491-225816.JPG,17234,78
2868472315-212999.JPG,64062,102
2898636308-69119.JPG,19983,132
2238556206-255055.JPG,11069,41
2874310344-140340.JPG,11767,46
2238561578-33854.JPG,20068,167
2430664792-345739.JPG,17221,73
2901946346-293210.JPG,11767,46
2237964818-4929.JPG,10234,28
2238480559-93851.JPG,17233,77
2237882872-300283.JPG,20093,174
2238562903-34105.JPG,19957,123
2818082332-358060.JPG,20093,174
2874313458-66641.JPG,20020,148
2238378349-88196.JPG,40854,181
2238549296-253601.JPG,20057,142
2864912464-138318.JPG,19964,125
2269197570-188933.JPG,11093,43
2901950386-293565.JPG,17233,77
2868487371-288633.JPG,20085,170
2238201143-9971.JPG,19951,120
2238576330-185223.JPG,19983,132
2984614391-295492.JPG,17238,79
2898629335-217012.JPG,17289,95
2238556072-330448.JPG,17242,80
2238589131-261751.JPG,47667,156
2238494674-95969.JPG,17325,104
2238428648-16008.JPG,20024,150
2238331354-86163.JPG,11772,55
2238533272-326171.JPG,17233,77
2332527431-264396.JPG,40854,181
2238578675-185731.JPG,17233,77
2421822221-267437.JPG,10107,20
2818065330-208295.JPG,10260,34
2465026524-126408.JPG,17191,61
2238471163-18418.JPG,20062,163
2430667770-197160.JPG,63482,48
2382324984-117399.JPG,63524,12
2452380943-50724.JPG,20024,150
2238556445-181243.JPG,63479,35
2424122050-193905.JPG,10079,13
2989732322-372245.JPG,65830,24
2860305400-210816.JPG,11759,54
2901935389-143150.JPG,10065,8
2446760469-123989.JPG,17218,72
2989715330-221634.JPG,17266,87
2238467297-315773.JPG,10057,2
2237961680-152974.JPG,19967,127
2238071084-80154.JPG,10267,37
2238562351-256368.JPG,10252,31
2238577001-259345.JPG,63482,48
2238513329-99059.JPG,65830,24
2421823230-193553.JPG,17215,71
2238496382-319733.JPG,20026,151
2238224248-11080.JPG,19966,126
2804910308-58948.JPG,10230,26
2238377220-162266.JPG,47667,156
2238428860-164306.JPG,19939,116
2238501201-245209.JPG,17282,92
2238467620-166484.JPG,20089,171
